"id";"cesky";"anglicky";"nemecky";"kategorie"
727;odjezdu, odjezdem;departure;die Abfahrt;Fráze
728;odjet, odcestuje, odcestujme, odcestovala;to leave [left, left];abfahren [abgefahren, fuhr ab];Sloveso
729;odstavci, odstavec, prodeje, odstavce, odstavců, podpatku;a paragraph;der Absatz;Podstatné jméno
730;lodička, boty na podpatku, střevíce;a boat;die Lodička;Podstatné jméno
731;vypnout, vypíná, vypínat;to turn off [turns off, turned off];auschalten [ausgeschaltet, schaltete aus, wird ausgeschaltet];Sloveso
732;odhadovat;to estimate;schätzen [geschätzt (ist), schätzte];Sloveso
733;loučení, rozloučení, sbohem, rozchodu, rozchodem;a farewell;die Abschied;Podstatné jméno
734;odtahová služba, odtah, odtahová pomoc, odtahovou, odtahová;a tow service;der Abschleppdienst;Podstatné jméno
735;závěru, promoci, dokončení, promoce, závěrečné, ukončení, uzavření;a graduation;die Abschlussfeier;Podstatné jméno
736;zakončení;an ending;das Ende;Podstatné jméno
737;odstavci, článku, oddíl, obdobím, odstavce, odstavců, oddílů, kousky;a section;ein Abschnitt;Podstatné jméno
738;mimo;outside;außerhalb;Předložka
739;odesílatele, odesílatelka, odesílatelé, odesílatel, odesílatelem;a sender;der Absender;Podstatné jméno
740;odložit, vysadit, odebrat, prodat, zrušit, snížit;to postpone/remove/take away/sell/cancel/reduce;aufheben [aufgehoben (ist), hob auf];Sloveso
741;vůle, záměr, záměru, záměry, úmyslu, předsevzetím;a will;der Wille;Podstatné jméno
742;vědomo, úmyslně, vědomé, cíleně, vědomou, schválně, vědomě, záměrně, uvědoměle;intentional;bewusst;Přídavné jméno
743;absolutně;absolutely;absolut;Příslovce
744;absolvuje, absolvovat, absolvoval, dokončíš;to complete;abschließen [abgeschlossen, schloss];Sloveso
745;uzavřít;to close [closed, closed];schließen [geschlossen (ist), schloss];Sloveso
746;projednat, koordinovat, dohodnout, domluvit, domluv;to agree;vereinbaren [vereinbart, vereinbarte, wird vereinbart];Sloveso
747;opláchnout, oplachuji, opláchni;to rinse [rinsed, rinsed];ausspülen [ausgespült, spülte, wird ausgespült];Sloveso
748;náskok, vzdálenost, odstupu;a lead;der Abstand;Podstatné jméno
749;Otřít prach, oprášit;to dust;abstauben [abgestaubt, abstaubte, wird abgetastet];Sloveso
750;koordinace, hlasování;coordination and voting;die Koordination und die Abstimmung;Fráze
751;abstraktně, abstraktní;abstractly;abstraktlich;Příslovce
752;zapírat, vyvracet, odmítat, popřela, popírat, popřít, zpochybňovat, popíráš, popírá;to deny;leugnen [geleugnet, leugnete];Sloveso
753;pád, kolaps, zřícení, havárie, selhání, pádu, zhroucení, pádům;a collapse;der Zusammenbruch;Podstatné jméno
754;hroutí;to break [broke, broken];brechen [gebrochen (ist), brach];Sloveso
755;oddělení;a department;das Abteilung;Podstatné jméno
756;osušuje, osušit, utíráš, osušovat, neutíráte, osuším, osušili, utři;to dry [dried, dried];trocknen [getrocknet, trocknet];Sloveso
757;odvolit, zrušit volbu, nevolit, odhlásit, odvolat;to recall;aufheben  [aufgehoben (ist), hob auf, wird aufgehoben];Sloveso
758;mytí nádobí, mytím nádobí, nádobí;dishes;das Geschirr;Podstatné jméno
759;umýt;to wash [washed, washed];waschen [gewaschen (ist), wusch];Sloveso
760;střídavě;alternately;wechselnd;Příslovce
761;nepřítomnost, absence;absence;die Abwesenheit;Podstatné jméno
762;maže, osušuje, utřít, utíráš, neutíráte, setřít, otřít, utři;to wipe;wischen [gewischt, wischt, wird gewischt];Sloveso
763;vyzvedli, vyzvednutí, vyzvednout;to pick up [picked up, picked up];aufnehmen [aufgenommen (hat/ist), nahm auf, wird aufgenommen];Sloveso
764;Aha;Aha;Aha;Citoslovce
765;osm, osmé, osmi, osmou;eight;die acht;Číslovka
766;všimni, osmého, dávejte, dbal, ctít, dbá, ceněn, dbát, ohlížíš, pohlídat, dbají, vážím, cenili, dbáme;to pay attention;aufmerksam sein [aufmerksam gewesen, achtete];Sloveso
767;Pozor;Attention!;Achtung!;Citoslovce
768;pozor;attention!;Achtung!;Citoslovce
769;osmnácti, osmnáct, osmnácté;eighteen;achtzehn;Číslovka
770;osmdesát, osmdesáti;eighty;achtzig;Číslovka
771;orel, orla;an eagle;der Adler;Podstatné jméno
772;adresu, adresa, adrese;an address;die Adresse;Podstatné jméno
773;Africe, afriky;Africa;die Afrika;Podstatné jméno
774;agenturu, agentura, agentuře;an agency;die Agentur;Podstatné jméno
775;útočný, agresivně, agresivní, agresivním, agresivněji;aggressive;aggressiv;Přídavné jméno
776;Egypt, Egypta, Egyptě;Egypt;Ägypten;Podstatné jméno
777;podobat, podobají;to resemble;ähneln [angeglichen, ähnelte, wird angeglichen];Sloveso
778;podobně, podobná, podobný, podobné, podobných;similar;ähnlich;Přídavné jméno
779;akademii, akademie, akademií;an academy;die Akademie;Podstatné jméno
780;baterie, buňky, baterii, bateriích, baterií;a battery;die Batterie;Podstatné jméno
781;aktovku, aktovka;a briefcase;die Aktentasche;Podstatné jméno
782;aktovku, aktovka;a briefcase;die Aktentasche;Podstatné jméno
783;aktivní;active;aktiv;Přídavné jméno
784;aktivisté, aktivistu;activists;die Aktivisten;Podstatné jméno
785;aktivitu, aktivita, činností, aktivitám;activity;die Aktivität;Podstatné jméno
786;aktuální, současná, aktuálním;current;aktuell;Přídavné jméno
787;akustické, akusticky, akustickou, akustický, poslechovým, poslechovém;acoustic;akustisch;Přídavné jméno
788;přízvuk, důraz, přízvuku;an accent;der Akzent;Podstatné jméno
789;přijatelná, přijatelný, přijatelné;acceptable;anständig;Přídavné jméno
790;poplachu, poplach, výstrahu, alarm;an alarm;der Alarm;Podstatné jméno
791;hloupě, hloupou, hloupé, legračně, nesmyslnou, blbou;silly;blöd;Přídavné jméno
792;Alexem, Alexe, Alex, Alexi;Alex;Alex;Podstatné jméno
793;alibi;an alibi;das Alibi;Podstatné jméno
794;nealkoholické, nealkoholickou, nealkoholický;non-alcoholic;alkoholfrei;Přídavné jméno
795;všechny;all;alle;Číslovka
796;sám;alone;allein;Přídavné jméno
797;samoživitelkou, samoživitelka;a single mother;die Alleinerziehende;Podstatné jméno
798;samoživitelkou, samoživitelé, samoživitele;a single parent;die Alleinerziehende;Podstatné jméno
799;samoživitelem, samoživitel;a single parent;der Alleinerziehende;Podstatné jméno
800;všem, všemi;with all;mit allen;Fráze
801;avšak;however;jedoch;Spojka
802;alergický test, test na alergii, alergologický test;an allergy test;der Allergietest;Podstatné jméno
803;alergický;allergic;allergisch;Přídavné jméno
804;vše, všechno, všeho, čímkoli;everything;alles;Zájmeno
805;všechno v pořádku;everything is fine;alles in Ordnung;Fráze
806;Všechno bude dobré;Everything will be good;alles wird gut;Fráze
807;veřejně, obecně;publicly;öffentlich;Příslovce
808;alianci, aliance, svazu;an alliance;die Allianz;Podstatné jméno
809;postupně;gradually;schrittweise;Příslovce
810;každodenní život, každodenním životě, každodennímu životu;daily life;der Alltag;Fráze
811;Alpy, Alpách, Alp, alpami;the Alps;die Alpen;Podstatné jméno
812;abecedně;alphabetically;alphabetisch;Příslovce
813;než;before;bevor;Spojka
814;tak i;also;auch;Spojka
815;jako kdyby, jako by, jakoby;as if;als ob;Spojka
816;takže;so;also;Spojka
817;staré, starý, stará;old;alt;Přídavné jméno
818;stará budova, starší dům, historická budova, starý dům, starší stavba;a historic building;das historische Gebäude;Podstatné jméno
819;domova důchodců, domov důchodců, domově důchodců;a retirement home;das Seniorenheim;Podstatné jméno
820;alternativní, náhradně;"";Příslovce|alternatively|alternativ |;""
821;alternativu, alternativa, alternativou, alternativy;an alternative;die Alternative;Podstatné jméno
822;sběrový papír, sběrového papíru, sběrový;recycling paper;der Sammelpapier;Podstatné jméno
823;staré město;the old town;die Altstadt;Podstatné jméno
824;nejvíce;most;am meisten;Příslovce
825;na konci;at the end;am Ende;Předložka
826;na konci;at the end;am Ende;Předložka
827;nejraději;most gladly;am liebsten;Příslovce
828;u moře;by the sea;am Meer;Fráze
829;na konci;at the end;am Ende;Předložka
830;na pláži;on the beach;am Strand;Fráze
831;na pláži;on the beach;am Strand;Fráze
832;dopoledne;morning;Vormittag;Fráze
833;dopoledne;morning;vormittags;Fráze
834;Američan, Američana, Američanů;an American;der Amerikaner;Podstatné jméno
835;úřadě, úřadů, úřadu, úřad, službě, hodnost;a service;die Behörde;Podstatné jméno
836;on, na, rozsvícené;lit up;angemacht;Přídavné jméno
837;na řadě;in a row;in Folge;Fráze
838;analýzu, analýza, analýze, Analýza, analýzou, studie;an analysis;die Analyse;Podstatné jméno
839;prozkoumám, analyzovány, analyzujeme, zkoumám, analyzován, prozkoumána, prozkoumáváš, rozebíráme, prozkoumán, prozkoumali, hodnotíme, analyzovat, analyzovali, vyhodnotíme, analyzují, vyhodnocujeme, analyzuj, analyzuje, analyzoval, zpracoval;to examine;untersuchen;Sloveso
840;Ananas, ananas;a pineapple;die Ananas;Podstatné jméno
841;přístavba, pěstování, rozšíření, přidání;an extension;die Erweiterung;Podstatné jméno
842;pěstuje, přistavět, pěstovaná, připojit, pěstuji, přidělat, sázet, rozšiřovat, pěstovat, pěstované;to cultivate;kultivieren [gezüchtet (ist), kultivierte];Sloveso
843;na druhé straně;on the other side;auf der anderen Seite;Fráze
844;změnili, změnit, nezměníme, neměnit, změnila, změníme, měníme, měním, měnit, měňte, změnil, upravujeme;to change [changed, changed];ändern [geändert, änderte];Sloveso
845;jiná, jiném, jiný, jindy, jiné, jinak, odlišná;different;anders;Přídavné jméno
846;na druhé straně;on the other side;auf der anderen Seite;Fráze
847;změně, změna, změnu, změny, reformu;a reform;die Reform;Podstatné jméno
848;naznačit;to indicate;naweisen [gewiesen (ist), wies];Sloveso
849;uznají, uznává, vyznává, ohodnocen, ocenil, nezpochybňujeme, pochválit, oceňují, ceněn;to recognize;erkennen [erkannt, erkannte, wird erkannt];Sloveso
850;začátek, začátku, úvodu, začátkem;a beginning;der Anfang;Podstatné jméno
851;Zpočátku, začínajícím;at the beginning;zu Beginn;Fráze
852;zpočátku;at first;zu Beginn;Příslovce
853;začne;to begin [began, begun];beginnen [begonnen (ist), begann];Sloveso
854;nedotknout, dotknout, dotýkají, dotýkáš;to touch [touched, touched];berühren [berührt, berührte];Sloveso
855;rozpaluje, povzbudil, povzbuzovalo, fandí, fandím, povzbuzujeme;to encourage;ermutigen [ermutigt, ermutigte];Sloveso
856;požadavku, požadavek, nároky;a requirement;die Forderung;Podstatné jméno
857;dotaz, dotazů, žádosti, poptávku;a request;die Anfrage;Podstatné jméno
858;údajně;allegedly;vermeintlich;Přídavné jméno
859;nabídlo, nabídli, nabídku, nabídnut;to offer [offered, offered];bieten [geboten (ist), bot];Sloveso
860;začali, začal, začala, začalo, nezačal, nezačali;to begin [began, begun];beginnen [begonnen (ist), begann];Sloveso
861;řešit, řeším;to solve [solves, solved];lösen [gelöst, löste, wird gelöst];Sloveso
862;příslušník, člen, příbuzný, rodinný příslušník, rodina;a relative;der Angehörige;Podstatné jméno
863;dorazili, nedorazili, dorazila;to arrive [arrived, arrived];ankommen [angekommen, kam];Sloveso
864;rybařit, rybaříme, rybařil;to fish [fished, fished];fischen [gefischt, fischte];Sloveso
865;přihlásil, Přihlásili, přihlášeni, Přihlásil/a, přihlášen, nahlášen;to register [registered, registered];sich anmelden [angemeldet (hat/ist), meldete sich an];Sloveso
866;přiměřená, přiměřené, správnému, přiměřený, správném, vhodnou, slušnou, přiměřeně, vhodných;appropriate;angemessen;Přídavné jméno
867;příjemný, pohodová, hezčím, příjemná, svěžím, klidnou, příjemně, příjemné, sympatickou, libovou;pleasant;angenehm;Přídavné jméno
868;zavolal, zavolali;to call [called, called];rufen [gerufen, rief, wird gerufen];Sloveso
869;avizovaný, žádaný, oblíbený, módní, populární, oznámený, trendy, megacool;popular;beliebt;Přídavné jméno
870;podívala, podíval, podívali, neprohlédli, prohlédli, prohlédl;to look at [looked at, looked at];schauen [gesehen (ist), schaute];Sloveso
871;vystresovaně, napjatý, napjatá, napnuté, nervózních;stressed;gestresst;Přídavné jméno
872;oblékl, Oblékl, oblečený, Oblékli, nasadil;to dress [dressed, dressed];anzogen [angezogen, anzog];Sloveso
873;napadnou, napadne, napadnout;to attack [attacks, attacked];angreifen [angegriffen (ist), griff an];Sloveso
874;podle, pomocí, na základě, s využitím, základě;according to;gemäß;Předložka
875;příloha, dodatek;an appendix;die Anlage;Podstatné jméno
876;příznivec, sledující, milovníci, příznivců, příznivci, milovník, milovníky, zastáncem;a supporter;der Anhänger;Podstatné jméno
877;přítulný, náklonný, oddaný, blízký, věrný, přítulného;affectionate;liebenswert;Přídavné jméno
878;uslyšelo, poslechnout, naslouchal, vyslechl, vyslechnout;to listen [listened, listened];hören [gehört, hörte];Sloveso
879;obvinění, obžaloba, žaloba, obžalobě;an indictment;die Anklage;Podstatné jméno
880;obviňují, obvinily, obviňován, obvinili, obvinil, obžalovali, obviněna;to accuse [accused, accused];anklagen [angeklagt (ist), anklagte];Sloveso
881;klikni, kliknout, kliknu;to click [clicked, clicked];klicken [geklickt, klickte];Sloveso
882;přijde, přijel, záleží;to come [came, come];kommen [gekommen, kam];Sloveso
883;zaškrtnout, označit, zakřížkovat, vyznačit;to check;abhaken [abgehakt, hackte, wird abgehakt];Sloveso
884;oznámit, oznámila, oznámí, oznámeny, oznamují, ohlásili, ohlásil;to announce [announced, announced];melden [gemeldet (ist), meldete];Sloveso
885;annou;Annou;die Annou;Podstatné jméno
886;příjezdu, příletu;arrival;die Ankunft;Podstatné jméno
887;vytvořena, založil, investují, vytvořené, investovat, založíte, investujeme, investuje, zaveden, investuj, obuli, sázíš, investovali, obuju, sází, investuji, vybudovat, přiloží;"";"Sloveso|to create [created, created]|erstellen [erstellt (ist), gründete];""
Sloveso|to found |gründen [gegründet (ist), gründete, wird gegründet]
Sloveso|to invest |investieren [investiert (hat/ist), investierte, wird investiert]
Podstatné jméno|creations|die erstellten
Sloveso|to invest |investieren [investiert (hat/ist), investierte, wird investiert]
Sloveso|you will found|gründen werden
Sloveso|we invest |investieren 
Sloveso|he invests |investiert 
Podstatné jméno|established|das etablierte
Sloveso|to invest |investieren [investiert (hat/ist), investierte, wird investiert]
Podstatné jméno|shoes|die Schuhe
Sloveso|you sow|setzt [gesetzt (hat/ist), setzte, wird gesetzt]
Sloveso|he sows|sät 
Sloveso|I invest |investiere [investiert (hat/ist), investierte, wird investiert]
Sloveso|to build|aufbauen [aufgebaut (ist), baute auf, wird aufgebaut]
Sloveso|to lay|legen [gelegt (hat/ist), legte, wird gelegt]"
888;přáním, zájmem, prosbu, zájmům;wish;Wunsch;Zájmeno
889;zapnout;to switch on;einschalten [angeschaltet, schaltete];Sloveso
890;přihlásíme, přihlašujeme, zapsala, přihlásilo, přihlásit se, přihlašuješ, přihlásit, registruje, přihlášeno;to register;sich anmelden [angemeldet (ist), meldete];Sloveso
891;přihlášku, přihláška, předplatnému;application;die Anmeldung;Podstatné jméno
892;poznamenat, poznamenejte, komentoval;to comment;kommentieren [kommentiert, kommentierte];Sloveso
893;poznámka, připomínka, komentář;a note;die Notiz;Podstatné jméno
894;Anna, Anno;Anna, Anno;Anna, Anno;Fráze
895;přijetí, akceptace, předpoklad, domněnka;an assumption;die Annahme;Podstatné jméno
896;přijali, přijmou, přijímám, přijmeš, přijímáme, přijal, očekávali, uvěřím, hádám, připustit, myslelo, přijměte, přijmi, pojal, přijímáte, přijati, domnívala, neber, domníváme, převezmeme, přijímají, domnívá, přijmout, přijmu, převezmeš;to accept [accepted, accepted];nehmen [genommen, nahm];Sloveso
897;anonymní, anonym, anonymním, anonymně;anonymous;anonym;Přídavné jméno
898;předepsal, stanoví, nastolil, uspořádány, nařídil, umísťujeme, rozestavuje, objednejte, rozmístit, nařízen;"";"Sloveso|to order|bestellen [bestellt] ;""
Sloveso|to arrange|anordnen [geordnet]
Sloveso|to set|stellen [gestellt]
Podstatné jméno|arrangements|die Anordnung(en)
Sloveso|to order|befehlen [befohlen]
Sloveso|to place|platzieren [platziert]
Sloveso|to arrange|verteilen [verteilt]
Sloveso|order|bestellen 
Sloveso|to distribute|verteilen [verteilt]
Sloveso|ordered|verfügt [verfügte, verfügt]"
899;uspořádání, nastavení;an arrangement;die Anordnung;Podstatné jméno
900;přizpůsobivý, pružněji, přizpůsobivějším, přizpůsobivé, přizpůsobivá, pružně, přizpůsobiví;adaptable;flexibel;Přídavné jméno
901;vyzkoušet, vyzkouším, vyzkoušíš;to try [will try, tried];ausprobieren [ausprobiert, ausprobierte, wird ausprobiert];Sloveso
902;vykejte, oslovil, oslovit, oslovovat, oslovuje, oslovuješ;to address;ansprechen [angesprochen (ist), sprach an];Sloveso
903;hovor, telefonát;a call;Anruf;Fráze
904;hovor;a dialect;der Dialekt;Podstatné jméno
905;hovory, hovorů, Hovory;conversations;die Gespräche;Podstatné jméno
906;hovorů, Hovory, hovory, telefonáty;conversations;die Gespräche;Podstatné jméno
907;dovolat, volajících, volat, zavolají, ozvat, zazvonit, ozval, oslovuješ;to call;rufen [gerufen, rief, wird gerufen];Sloveso
908;volající, tazatel, volající osoba;a caller;der Anrufer;Podstatné jméno
909;podívat, uviděla, dívat, pozoruješ, koukat, rozhlédl;to look;schauen [gesehen, schaute, wird geschaut];Sloveso
910;zdá se;to seem;scheint;Sloveso
911;připojte, navazovat, zapoj, připojit, navázal, navazuješ, propojuji, zapojit, spojil, zapojte, propojují;to connect;verbinden [verbunden (ist), verband];Sloveso
912;pozdější;later;später;Přídavné jméno
913;připojení, propojení, přípoj, přípoji;a connection;die Verbindung;Podstatné jméno
914;motivační dopis, průvodní;motivational letter of introduction;ein motivierender Begleitbrief;Fráze
915;pozorujte, podívat se na, prohlížíte, považovaly, pozorují, Podívejme se, podívat se, považován;to watch;beobachten [beobachtet (hat), beobachtete];Sloveso
916;stanovisko, výjevy, pohledu, stanovisku;a standpoint;die Haltung;Podstatné jméno
917;napínat, napni, napínám;to stretch;aufspannen [aufgespannt, spann, wird aufgespannt];Sloveso
918;dostupný, přístupný, komunikativní, ochotný k rozhovoru, při vědomí;accessible;zugänglich;Přídavné jméno
919;zmiňujeme, obrátit, oslovil, oslovit, oslovovat, zmínil, oslovuje, zmiňuje, promluví, oslovuješ, oslovováno;to mention;erwähnen;Sloveso
920;odpovědná osoba, zodpovědná osoba, kontaktní osoba, prodejcem;a contact person;die Kontaktperson;Podstatné jméno
921;práv, nárok, nároky;a right;das Recht;Podstatné jméno
922;náročnou, náročným, náročná, náročných;demanding;schwierig;Přídavné jméno
923;nakazil, připevnit, nakazilo, nakazit, zapálit, nakazí, připnout, nakazíš, nakazit se, nakazili;to infect;infizieren [infiziert];Sloveso
924;infekční, nakažlivá, nakažlivý, přenosný, nakažlivé;infectious;ansteckend;Přídavné jméno
925;postavit, najíme;to set up;aufstellen [aufgestellt];Sloveso
926;přiťukneme, připít, připijeme, přiťuknout, přiťuknu, připíjí, přiťuknete, připije, přiťukni;to toast;anstoßen [angestoßen (ist), stieß];Sloveso
927;stresujícím, tvrdou, stresujících, namáhavá, náročné, náročnou, namáhavý, namáhavé, náročným;stressful;anstrengend;Přídavné jméno
928;poděly;a division;die Teilung;Podstatné jméno
929;anténa, anténu;an antenna;die Antenne;Podstatné jméno
930;starověkém;ancient;alt;Přídavné jméno
931;dotknout;to touch [touched, touched];berühren [berührt, berührte, wird berührt];Sloveso
932;žádost, žádosti;a request;die Anfrage;Podstatné jméno
933;odpověď;an answer;die Antwort;Podstatné jméno
934;odpověď;an answer;die Antwort;Podstatné jméno
935;ozvou, odpovídají, odepiš, odepíšeš, reagovali, ozve, reagovalo, ozývají, nezodpověděl, odpovím, odpovídáme, ozvat, nereaguje, neodpovídají, ozval, zareagovali;"";"Sloveso|to answer | antworten [geantwortet, antwortete] ;""
Sloveso|to reply | antworten [geantwortet, antwortete]
Sloveso|to respond | reagieren [reagiert, reagierte]
Sloveso|to call | rufen [gerufen, rief]"
936;svěř, svěřit, svěřila;to entrust;vertrauen [vertraut, vertraute, wird vertrauen];Sloveso
937;pokyn, pokynům, instrukci, pokyny;an instruction;die Anweisung;Podstatné jméno
938;použiješ, použity, použij, použita, vztahuje, použijte, použili, použije, použilo;to use [used, used];verwenden [verwendet (ist), verwendete];Sloveso
939;přítomen, přítomno, přítomni, přítomní;present;präsent;Přídavné jméno
940;docházce, docházka, přítomnost, přebývání, účast, docházkou;attendance;die Anwesenheit;Podstatné jméno
941;obyvatel, obyvatelé, místní obyvatelé, rezident, soused;a resident;der Einwohner;Podstatné jméno
942;počtu, kusů, počet, řadu;a number;die Anzahl;Podstatné jméno
943;tabule, tabuli, tabulí;a board;die Tafel;Podstatné jméno
944;převlékni, obléknout, lákají, svádějí, napínat, převléknout, napni, obuli, natahuji, obul, zrychlí, svádět, zatáhl, obout, obuju, obléct, navlékni, oblékat, přitáhni;"";"Sloveso|to put on | anziehen ;""
Sloveso|to attract | locken
Sloveso|to seduce | verführen
Sloveso|to tighten | spannen
Sloveso|to put on | anziehen
Sloveso|to tighten | spannen
Sloveso|to put on | Schuhe anziehen
Sloveso|to stretch | dehnen
Sloveso|to speed up | beschleunigen
Sloveso|to seduce | verführen
Sloveso|to pull | ziehen 
Sloveso|to put on | Schuhe anziehen
Sloveso|to put on | Schuhe anziehen
Sloveso|to dress | anziehen
Sloveso|to dress | anziehen
Sloveso|to tighten | festziehen"
945;přitažlivost, gravitace, gravitaci;attraction;die Anziehungskraft;Podstatné jméno
946;oblek;a suit;der Anzug;Podstatné jméno
947;oblek, obleku;a suit;der Anzug;Podstatné jméno
948;obleky, obleků;suits;die Anzüge;Podstatné jméno
949;rozdělal, zapálit, rozdělávat, rozdělali;to light;anzünden [angezündet (ist), entzündete];Sloveso
950;pochybovat, pochybuji, pochybujeme, nezpochybňujeme, pochybuje, zpochybňuj, zpochybňuje, zpochybňuješ, pochybuješ, pochyboval, zpochybnil;to doubt [doubted, doubted];zweifeln [gewweifelt, zweifelte];Sloveso
951;jablko, jablky;an apple;das Apfel;Podstatné jméno
952;jablek, jablka, jablky;apples;die Äpfel;Podstatné jméno
953;jabloň, jabloně;an apple tree;die Apfelbaum;Podstatné jméno
954;jablečný koláč, Jablečný koláč;an apple pie;der Apfelkuchen;Podstatné jméno
955;závin;a winding;die Schleife;Podstatné jméno
956;závin, jablečný;apple juice;Apfelsaft;Podstatné jméno
957;lékárny, lékárnu;a pharmacy;die Apotheke;Podstatné jméno
958;lékárny;a pharmacy;die Apotheke;Podstatné jméno
959;farmaceut, lékárníkovi, lékárník, lékárníci;a pharmacist;der Apotheker;Podstatné jméno
960;apetit;an appetite;der Appetit;Podstatné jméno
961;vodová malba, akvarel, akvarely;a watercolor;die Aquarellmalerei;Podstatné jméno
962;akvárium, akváriu, akvária;an aquarium;das Aquarium;Podstatné jméno
963;práce;a work;die Arbeit;Podstatné jméno
964;dělnická třída, pracovní třída;the working class;die Arbeiterklasse;Podstatné jméno
965;pracuješ;to work [worked, worked];arbeitest [gearbeitet (ist), arbeitete];Sloveso
966;pracovník, zaměstnanec, zaměstnankyně, pracovníkům;a worker;der Arbeitnehmer;Podstatné jméno
967;každodennosti, pracovním, každodennost;daily life;der Alltag;Podstatné jméno
968;pracovní pokyn, pracovní instrukce, pracovní příkaz, pokyn, instrukce;an instruction;die Anweisung;Podstatné jméno
969;pracovní úkol, pracovní příkaz, zadání práce, zakázka;a task;die Aufgabe;Podstatné jméno
970;pracovní podmínka, pracovní podmínky, podmínkám;a working condition;die Arbeitsbedingung;Podstatné jméno
971;list;a leaf;ein Blatt;Podstatné jméno
972;pracovní kniha, pracovní sešit, učebnice;a workbook;die Arbeitsmappe;Podstatné jméno
973;pracovní skupina, pracovní komise, pracovní tým;a working group;die Arbeitsgruppe;Podstatné jméno
974;pracovní kolega;a coworker;der Arbeitskollege;Podstatné jméno
975;kolegyni z práce, kolegyně z práce;a female colleague from work;die Kollegin von der Arbeit;Podstatné jméno
976;nezaměstnaná, nezaměstnaný;an unemployed person;die Arbeitslose;Podstatné jméno
977;pracovní trh;the labor market;der Arbeitsmarkt;Podstatné jméno
978;pracovní plán, plán práce, plán;a plan;der Plan;Podstatné jméno
979;pracoviště, pracovišti, pracovištěm;a workplace;das Arbeitsplatz;Podstatné jméno
980;pracovní den, dnem;a workday;ein Arbeitstag;Fráze
981;pracovní úraz, pracovní nehoda;a workplace injury;der Arbeitsunfall;Podstatné jméno
982;pracovní smlouva, pracovní kontrakt;a labor contract;die Arbeitsverträge;Podstatné jméno
983;pracovní, doby, úvazek;a work obligation;die Arbeitszeit;Podstatné jméno
984;archiv, archív, archivu;an archive;das Archiv;Podstatné jméno
985;zlobí, nedráždi, rozčilovat, zlobit, rozčílila, rozčilujeme, rozčílil, rozčílí, zlobili;to irritate;ärgern [ärgerte, hat geärgert];Sloveso
986;argument, argumentů, argumentu, argumentech;an argument;der Argument;Podstatné jméno
987;paže, chudým;the poor;die Armen;Podstatné jméno
988;náramek;a bracelet;der Armband;Podstatné jméno
989;náramek;a bracelet;der Armband;Podstatné jméno
990;náramkové hodinky;a wristwatch;die Armbanduhr;Podstatné jméno
991;rukávy, rukávů;a sleeve;die Ärmel;Podstatné jméno
992;bez rukávů;sleeveless;hosenlos;Přídavné jméno
993;chudoby, bída, chudoba, nedostatek, nouze, chudobě;poverty;die Armut;Podstatné jméno
994;voňavé, voňavým, aromatická, aromatický, voňavá, aromatickým, voňavém, voňavý, aromaticky, voňavou, aromatičtější;fragrant;aromatisch;Přídavné jméno
995;technikou, styly, typ, způsobům, tipu, druhu, způsob, vkusu, způsobu;a way;ein Weg;Podstatné jméno
996;ochrana druhů, ochrana přírody;species protection, nature conservation;Schutz von Arten und der Natur;Fráze
997;vyhynutí druhů, vymírání druhů, vymírání;extinction;das Aussterben;Podstatné jméno
998;položek, článků, článku, položky, články, článcích;an item;ein Artikel;Podstatné jméno
999;lékaři, lékaře, Lékař, lékařem, doktor;a doctor;der Arzt;Podstatné jméno
1000;návštěvou lékaře;a doctor's visit;die ärztliche Visite;Fráze
1001;lékaři, Lékaři, lékaře, lékařů;a doctor;der Arzt;Podstatné jméno
1002;doktorce, lékařka, doktorky, doktorka, lékařkou;a doctor;die Ärztin;Podstatné jméno
1003;lékařky, lékařce, lékařka;a doctor;die Ärztin;Podstatné jméno
1004;ordinace, ordinaci;a practice;die Ordination;Podstatné jméno
1005;termín u lékaře;a doctor's appointment;ein Termin beim Arzt;Fráze
1006;najedli, jedli, jedlo;to eat [ate, eaten];essen [gegessen (ist), aß];Sloveso
1007;asijské;Asian;asiatisch;Přídavné jméno
1008;Asii;Asians;die Asiaten;Podstatné jméno
1009;hlediska, aspekt, aspektem, aspekty;an aspect;der Aspekt;Podstatné jméno
1010;větev;a branch;die Äste;Podstatné jméno
1011;astronaut, Astronaut, astronautem;an astronaut;der Astronaut;Podstatné jméno
1012;astronomem, astronom, astronoma, astronomové;an astronomer;der Astronom;Podstatné jméno
1013;astronomie, astronomii;astronomy;die Astronomie;Podstatné jméno
1014;azyl, útočiště, azylový dům;asylum;das Asyl;Podstatné jméno
1015;ateliér, ateliéru, dílně, dílna;a studio;das Atelier;Podstatné jméno
1016;dechem, dech, dýcháním;breath;der Atem;Podstatné jméno
1017;nedostatek dechu, dušnost, potíže s dýcháním, dušnosti;shortness of breath;Atemnot;Podstatné jméno
1018;atlet, sportovec;an athlete;der Athlet;Podstatné jméno
1019;atmosférický, působivý, náladový;atmospheric;atmosphärisch;Přídavné jméno
1020;atomy, atomu, atom, atomů;an atom;der Atom;Podstatné jméno
1021;atrakce, atrakcí, atrakci;an attraction;die Attraktion;Podstatné jméno
1022;atraktivně, přitažlivější, atraktivní, poutavých, hezkých, poutavé, atraktivního;attractive;attraktiv;Přídavné jméno
1023;au;au;Au!;Citoslovce
